cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.cigarsdirect.com/collections/herrera-esteli-by-drew-estate-norteno/products/herrera-esteli-by-drew-estate-norteno-lonsdale?variant=31084935413857,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,246.38,False,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.cigarsdirect.com/products/romeo-y-julieta-1875-churchill?variant=19713384317025,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,288.0,False,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX20,Grand Robusto,https://www.cigarsdirect.com/collections/my-father-cigars-the-judge/products/my-father-cigars-the-judge-560-box-pressed?variant=31116864487521,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,20,232.2,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.cigarsdirect.com/products/perdomo-reserve-10th-anniversary-champagne-epicure?variant=19713344077921,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,264.38,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.cigarsdirect.com/products/my-father-cigars-le-bijou-1922-toro?variant=19713281228897,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,226.8,False,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.cigarsdirect.com/products/padron-1964-anniversary-diplomatico-natural?variant=19713316159585,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,467.5,True,
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.cigarsdirect.com/products/foundation-cigar-co-olmec-maduro-toro?variant=42173809098929,Foundation,Olmec,Maduro,Toro,6x52,12,177.55,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.cigarsdirect.com/products/padron-1964-anniversary-diplomatico-maduro?variant=19713315995745,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,467.5,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.cigarsdirect.com/products/padron-1926-anniversary-no-9-natural?variant=19713315242081,Padron,1926 Serie,Natural,No. 9,5.25x56,24,588.0,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://www.cigarsdirect.com/products/padron-1926-anniversary-no-9-maduro?variant=19713315012705,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,588.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-best-seller,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,205.11,False,
